epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.02968099721343469,0.01628040266660886,0.0955652,0.016282788,0.11795195545185935,0.018755345
2,0.0156686760822604,0.015413083230927894,0.09017129,0.015424381,0.16688894229275839,0.022219423
3,0.014894986043855859,0.014615373235329819,0.087403454,0.014617049,0.22733818988919305,0.022938618
4,0.014312434875562689,0.01404344390150521,0.08444764,0.014011948,0.26778702161129275,0.022435449
5,0.013835962410555947,0.0136923627533022,0.08326733,0.013681824,0.28892628239012036,0.022690827
6,0.013444843128927174,0.01339313137440228,0.08238417,0.013396539,0.3073266196852137,0.02236864
7,0.0130832535658623,0.013260005497340643,0.08129809,0.013264499,0.31567633519384247,0.022345498
8,0.012805622875233964,0.012920463999607803,0.08027946,0.012899859,0.3370438177913806,0.02247338
9,0.012539529357636527,0.012508102013064735,0.07811859,0.0125100985,0.36037376465077514,0.023146098
10,0.012289194040363733,0.012417848300365908,0.07777352,0.012419448,0.3654978974611778,0.023047265
11,0.012090990278919519,0.012306004492383617,0.07678273,0.012316954,0.3708432192277932,0.023520969
12,0.011909234220548202,0.01224259565783752,0.076760925,0.012240448,0.3738517910900965,0.023414696
13,0.011763303553928982,0.012040498785434742,0.07560671,0.01206629,0.38631852490578683,0.023460574
14,0.01160913300688134,0.011919014755774544,0.075583965,0.01190764,0.3979349651936456,0.023333946
15,0.011437734370796777,0.011795877053306786,0.07510085,0.011778822,0.4040738560145735,0.02309959
epoch,train_loss,val_loss,mae,mse,r2,std_ae
1,0.13778476054905014,0.016762658937320204,0.095805824,0.016763296,0.094628329645332,0.019867826
2,0.016214166388711492,0.015781356398889897,0.09298878,0.015779618,0.1529973907896777,0.020731902
3,0.01551311760913917,0.015349336769899045,0.09062294,0.015349199,0.18407501234137397,0.021101676
4,0.015010309643175101,0.01495575533152784,0.08762676,0.01494902,0.210880261796133,0.023223301
5,0.014597163527938509,0.014533491410379447,0.08745179,0.014548677,0.23949244171591455,0.021518314
6,0.014260680229215911,0.014184899895866541,0.084906735,0.014178923,0.26458851590209387,0.022730611
7,0.0140225107024289,0.014079603611690035,0.08541961,0.014092666,0.2676582240072101,0.021931738
8,0.013783914464663639,0.013869521635555805,0.08378046,0.013863372,0.28304884012684095,0.0227508
9,0.013564062600657522,0.013723916050510971,0.08339985,0.0137166325,0.2884183769969042,0.02252418
10,0.01335630841823059,0.013525877121197459,0.08290879,0.013524254,0.30428285319709,0.021908335
11,0.01315354924287536,0.013394663281281544,0.08238699,0.013390826,0.3119556587450583,0.022796033
12,0.012974315671804132,0.013189862768496173,0.08111411,0.01321997,0.3231604956500138,0.023148958
